composition,id,energyperatom
La2O6W1,icsd_246256,-8.36450381944
Hf1O3Sr1,icsd_164622,-8.3629574
Hf1O3Sr1,icsd_164621,-8.3604001
O7Si2Y2,icsd_173383,-8.35839038636
N1Nb1,icsd_167868,-8.3561825
Al2O9Y4,icsd_080040,-8.35476193333
Hf1O3Sr1,icsd_161595,-8.3533398
C4Co3W10,icsd_617464,-8.350258147060003
Ge1O8Zr3,icsd_029263,-8.347984916669999
C3Nb4,icsd_042758,-8.34220357143
C8K1,icsd_070020,-8.3331725
C1Mn3W3,icsd_618280,-8.33034767857
Hf1O3Sr1,icsd_161594,-8.3268506
Hf1O3Sr1,icsd_184791,-8.326658
O3W1,icsd_086144,-8.3241551875
O3W1,icsd_050731,-8.3240446875
O3W1,icsd_654048,-8.32397071875
O3W1,icsd_080057,-8.32391125
O3W1,icsd_080055,-8.32385703125
O3W1,icsd_080054,-8.3238005
O3W1,icsd_050727,-8.323727875
O3W1,icsd_050728,-8.3236783125
O8W3,icsd_073719,-8.323286818180001
O3W1,icsd_036168,-8.3229256875
O7V2Y2,icsd_160865,-8.321872681819999
O7V2Y2,icsd_160600,-8.32186763636
C1Mo1,icsd_077156,-8.3209765
O3W1,icsd_088366,-8.3209128125
O3W1,icsd_088367,-8.320830125
C8Rb1,icsd_200563,-8.31936005556
Cr1O3Sc1,icsd_085141,-8.31787255
O5Sc2V1,icsd_169174,-8.317207725
La2O7Ti2,icsd_001950,-8.31359352273
La2O7Ti2,icsd_004132,-8.31358075
C10Sr1,icsd_075356,-8.309557166669999
N1V1,icsd_644850,-8.3076205
N1V1,icsd_076950,-8.307578999999999
La2O7Ti2,icsd_032537,-8.30707995455
Cr1O4W1,icsd_036213,-8.3069685
N1V1,icsd_644862,-8.3067765
O3W1,icsd_183408,-8.3060585
N1V1,icsd_169820,-8.305549000000001
O3W1,icsd_032001,-8.30285483333
N1V1,icsd_644853,-8.302058500000001
Al3O12Sc2Y3,icsd_067055,-8.2915336125
C2N4Si1,icsd_093543,-8.28753857143
